Time,Actual Class,Predicted Class,Count
1200D,Building Shade,Building Shade,653001
1200D,Building Shade,Tree Shade,65332
1200D,Building Shade,No Shade,352358
1200D,Tree Shade,Building Shade,124830
1200D,Tree Shade,Tree Shade,474704
1200D,Tree Shade,No Shade,35098
1200D,No Shade,Building Shade,212151
1200D,No Shade,Tree Shade,55711
1200D,No Shade,No Shade,2212931
1500D,Building Shade,Building Shade,365909
1500D,Building Shade,Tree Shade,39313
1500D,Building Shade,No Shade,184323
1500D,Tree Shade,Building Shade,94652
1500D,Tree Shade,Tree Shade,534983
1500D,Tree Shade,No Shade,38778
1500D,No Shade,Building Shade,202211
1500D,No Shade,Tree Shade,48791
1500D,No Shade,No Shade,2677156
1800D,Building Shade,Building Shade,562154
1800D,Building Shade,Tree Shade,52829
1800D,Building Shade,No Shade,322819
1800D,Tree Shade,Building Shade,102138
1800D,Tree Shade,Tree Shade,502166
1800D,Tree Shade,No Shade,38653
1800D,No Shade,Building Shade,233815
1800D,No Shade,Tree Shade,49314
1800D,No Shade,No Shade,2322228
