Time,mask,Actual Class,Predicted Class,Count
1200D,non_building,Building Shade,Building Shade,218717
1200D,non_building,Building Shade,Tree Shade,24795
1200D,non_building,Building Shade,No Shade,69461
1200D,non_building,Tree Shade,Building Shade,41151
1200D,non_building,Tree Shade,Tree Shade,422860
1200D,non_building,Tree Shade,No Shade,6739
1200D,non_building,No Shade,Building Shade,169333
1200D,non_building,No Shade,Tree Shade,11748
1200D,non_building,No Shade,No Shade,1048962
1500D,non_building,Building Shade,Building Shade,255605
1500D,non_building,Building Shade,Tree Shade,21238
1500D,non_building,Building Shade,No Shade,52635
1500D,non_building,Tree Shade,Building Shade,43472
1500D,non_building,Tree Shade,Tree Shade,397892
1500D,non_building,Tree Shade,No Shade,6244
1500D,non_building,No Shade,Building Shade,160941
1500D,non_building,No Shade,Tree Shade,13925
1500D,non_building,No Shade,No Shade,1061814
1800D,non_building,Building Shade,Building Shade,789987
1800D,non_building,Building Shade,Tree Shade,50660
1800D,non_building,Building Shade,No Shade,82612
1800D,non_building,Tree Shade,Building Shade,66230
1800D,non_building,Tree Shade,Tree Shade,270932
1800D,non_building,Tree Shade,No Shade,8805
1800D,non_building,No Shade,Building Shade,184129
1800D,non_building,No Shade,Tree Shade,13978
1800D,non_building,No Shade,No Shade,546433
