Time,Mask,Mean Error (global - local),Min True (local),Max True (local),Mean True (local),Median True (local),Std True (local),Min Pred (global),Max Pred (global),Mean Pred (global),Median Pred (global),Std Pred (global)
1200,Whole Area,-0.4502,26.0385,36.8907,31.877,33.2693,3.7053,26.0435,36.1517,31.4268,32.8045,3.6607
1200,Shade (Building and Tree),0.049,26.0385,31.7232,27.4125,27.387,0.7983,26.0435,31.3434,27.4615,27.4382,0.837
1200,No Shade,-0.1631,30.8593,36.8907,34.7216,35.1213,1.1315,31.1494,36.1517,34.5585,34.9502,1.098
1200,Building Shade,-0.0102,26.0385,31.7232,27.9076,27.927,0.7103,26.0435,29.9287,27.8974,27.9957,0.7486
1200,Tree Shade,-0.0292,26.2111,31.5102,27.0834,26.884,0.6741,26.2031,31.3434,27.0542,26.8265,0.6987
1500,Whole Area,-0.4506,23.8479,32.8351,28.4413,29.5755,2.9412,23.8522,32.6876,27.9907,28.8014,2.8554
1500,Shade (Building and Tree),0.0283,23.8479,28.1789,24.9409,24.777,0.7207,23.8522,28.0737,24.9692,24.8182,0.7405
1500,No Shade,-0.2424,26.7648,32.8351,30.6409,30.8405,1.1055,26.9234,32.6876,30.3985,30.5666,1.0683
1500,Building Shade,-0.0417,23.8479,27.9782,25.3382,25.3948,0.74,23.8522,27.8304,25.2965,25.3695,0.7442
1500,Tree Shade,-0.027,23.9541,28.1789,24.6484,24.4798,0.5448,23.938,28.0737,24.6214,24.4414,0.5546
1800,Whole Area,-0.1226,20.0512,23.4856,21.283,20.764,0.9433,20.0924,23.4048,21.1604,20.7313,0.8572
1800,Shade (Building and Tree),-0.0011,20.0512,21.8813,20.6522,20.6422,0.174,20.0924,21.8562,20.6511,20.6424,0.1688
1800,No Shade,-0.0992,20.6213,23.4856,22.3583,22.6221,0.7213,20.6167,23.4048,22.2591,22.5411,0.7012
1800,Building Shade,0.0045,20.0512,21.8664,20.6262,20.6316,0.1552,20.097,21.6341,20.6307,20.6378,0.1488
1800,Tree Shade,-0.0072,20.0858,21.8813,20.7216,20.6984,0.2005,20.0924,21.8562,20.7144,20.6833,0.207
